CODIGO,GSSI,Número Total de Chamadas
65125,1 PEL PORTO ESPERIDIAO,4
65124,3 COM S.J QUATRO MARCOS,15
65123,2 CIPM ARAPUTANGA,404
65122,NPM DISTRITO CARAMUJO,142
65121,6BPM CACERES,101764
65120,17 BPM MIRASSOL D´OESTE,10415
65119,6 CR PM,2751
65116,FT BARRA GARÇA,829
65115,NPM ITAQUERE,135
65114,NPM VILA PAREDAO LESTE,33
65113,NPM INDIANAPOLIS,13
65112,NPM GENERAL CARNEIRO,39
65111,NPM ARAGUAIANA,30
65110,NPM PONTAL RIBEIRAOZINHO,26
65109,NPM PONTAL ARAGUAIA,58
65108,NPM TORIXOREU,42
65107,1 PEL NOVO SÃO JOAQUIM,59
65106,INTELIGENCIA 6 CR,71
65105,2 BPM,898
65104,5 CR,107478
65101,NPM BOA ESPERANCA NORTE,56
65100,NPM IPIRANGA NORTE,55
65099,NPM SANTA CARMEM,56
65098,NPM UNIAO SUL,298
65097,4 PEL FELIZ NATAL,41
65096,3 PEL CLAUDIA,110
65095,2 PEL NOVA UBIRATA,33
65094,1 PEL VERA,104
65093,INTELIGENCIA SINOP,2
65092,FT SINOP,65
65091,DEFAZ PM,1
65090,12 BPM,75847
65089,11 BPM,101710
65088,TCE MT,38240
65087,POLICIA COMUNITARIA,3
65085,NPMA BARRA BUGRES,3
65084,CIOPAER,159
65083,DSAU,34
65082,QCGPM,30
65081,1 CIA PM AMBIENTAL CACERES,23
65080,2 CIA PA ROND,21
65079,ROTAM,97
65078,REGIMENTO MONTADO,389
65077,BPMTUR,10562
65076,BPMPA,44
65075,BOPE,164
65074,CESP,161
65072,GEFRON CALIFRON,1
65071,GEFRON TREINAMENTO,213
65070,INTELIGENCIA ROND,25
65069,FT RONDONOPOLIS,398
65068,NPM SANTA ELVIRA,19
65067,NPM FATIMA S.LOURENÇO,29
65066,NPM SÃO PEDRO CIPA,36
65065,1 PEL DOM AQUINO,35
65064,NPM JUSCIMEIRA,29
65063,7 CIPM JACIARA,22298
65062,NPM ARAGUAINHA,51
65061,2 PEL ALTO TAQUARI,98
65060,1 PEL ALTO GARÇAS,68
65059,15 BPM,8732
65058,NPM GARCA BRANCA,27
65057,NPM TESOURO,32
65056,NPM SÃO JOSE POVO,21
65055,NPM OURO BRANCO SUL,86
65054,3 PEL ITIQUIRA,133
65053,2 PEL GUIRATINGA,293
65052,1 PEL PEDRA PRETA,232
65051,5 BPM,165859
65050,4 CR,1994
65047,3 CR SINOP,856
65046,INTELIGENCIA 6 CIPM,72
65045,INTELIGENCIA 7BPM,21
65043,INTELIGENCIA 4 BPM,28
65042,INTELIGENCIA 2 CR,1
65041,6 CIPM POCONE,10524
65040,FORÇA TATICA VG,162
65039,7 BPM,18980
65038,25 BPM,55427
65037,4 BPM,151171
65036,2 CRPM,1321
65033,21 CIPM,482
65032,INTELIGENCIA RAIO,442
65031,RAIO 24 CIPM,2730
65030,INTELIGENCIA 21 CIPM,194
65029,INTELIGENCIA FT,39
65028,FORÇA TATICA CR,44
65026,INTELIGENCIA 10 BPM,6
65024,GAP 3 BPM,33
65023,INTELIGENCIA 3 BPM,9
65022,INTELIGENCIA 1 BPM,18
65021,INTELIGENCIA 1CR,9
65020,4 CIA PALACIO GOVER,71
65019,3 CIA STO ANT LEVEGER,197
65018,1 CIA CHAPADA,4536
65017,24 BPM,1014
65016,10 BPM,124275
65015,9 BPM,165878
65014,3 BPM,193931
65013,1 BPM,182037
65012,1 CR PM,2985
65011,GEFRON OPERAÇÃO,4995
65008,INTEGRAÇÃO CR,24
65007,INSTRUÇÃO 2,673
65006,INSTRUÇÃO 1,914
65005,OPERAÇÃO 5 PM,565
65004,OPERACAO 4 PM,169
65003,OPERAÇÃO 3 PM,207
65002,OPERAÇÃO 2 PM,208
65001,OPERAÇÃO 1 PM,3559
65000,PMMT ESTADUAL,396
62990,,1
62867,,4
62594,INTEGRAÇÃO SSP 3 GO,47
62592,INTEGRAÇÃO SSP 2 GO,32
62573,CBM/GO OPERAÇÕES SCI 01,6
62495,CBM/GO RESERVA ADM 2,8
62033,1
62004,2
62001,2
62000,3
10363,RESERV 02 MT,72
10362,RESERV 01 MT,62
10360,INTEGR 07 MT,6
10359,INTEGR 08 MT,6
10356,INTEGR 06 MT,3
10355,INTEGR 02 MT,3
10354,INTEGR 01 MT,139
10353,FROTA MT,8
10347,OPERAC 05 MT,10
10346,OPERAC 04 MT,5
10345,OPERAC 03 MT,72
10344,OPERAC 02 MT,1329
10343,OPERAC 01 MT,5738
10342,DEL 08 MT,15
10341,DEL 07 MT,10048
10340,DEL 06 MT,777
10339,DEL 05 MT,6009
10338,DEL 04 MT,154
10337,DEL 03 MT,167
10336,DEL 02 MT,4373
10335,DEL 01 MT,2259
10323,FROTA MS,1
10309,DEL 06 MS,2
10211,DEL 05 GO,2
6568,PM PEDRA PRETA,224
6567,RONDON DINAMICO SETRAT TEMP,2062
6566,EXPOSUL 2024,601
5,AGENTE/SETRAT MT,30
